danceability (bin);key;track_id (song_features.csv);acousticness;danceability;duration_ms;energy;instrumentalness;liveness;loudness;mode;speechiness;tempo;valence
0.69;2;0E6PsO3ymCfUh7pJQjBgkj;0,0133;0,705;264853;0,784;0;0,168;-6,477;1;0,271;160,035;0,377
0.54;9;5xbrhx2tMMcN68IT3cJbhS;0,737;0,57;99707;0,285;0,0133;0,108;-14,125;0;0,0381;83,485;0,0973
0.75;9;2ooF4088y5L72c4YTEJQoB;0,0179;0,755;101851;0,695;0;0,107;-5,963;1;0,26;128,063;0,493
0.90;9;1B3TX5FbmcVROMv2riOwyE;0,15;0,915;137174;0,692;0,00012;0,0964;-7,544;1;0,0857;118,981;0,713
0.42;4;3QVIBuVrIe5IHOZepa7JBZ;0,47;0,448;209099;0,541;0;0,1;-11,34;0;0,397;81,92;0,237
0.72;8;658I1uDnmLSiltFCf98AWE;0,398;0,727;169979;0,62;0;0,0926;-6,443;1;0,306;105,003;0,555
0.39;0;1Wh5LO3TWAvaeDrwp4FZgo;0,102;0,421;112800;0,154;0,00692;0,207;-12,405;1;0,0319;99,886;0,0949
0.57;0;0VJYhKhrHgJ7fgjGaC2k07;0,461;0,597;50748;0,113;0,000393;0,148;-34,475;1;0,954;81,311;0,313
0.66;9;2S2od3hT7ceytw7d1pTRuE;0,188;0,664;193962;0,738;5,75e-05;0,135;-4,095;0;0,0338;119,973;0,203
0.84;7;79R3qLqdbwUSYWX4cEOpbJ;0,16;0,862;164521;0,6;0;0,102;-5,522;1;0,151;119,072;0,433
0.87;6;5iZ4hcpCgFVijq5OOjBTKZ;0,0149;0,879;228400;0,544;1,14e-05;0,0291;-5,667;0;0,151;99,005;0,67
0.78;5;0GxQ1A5L9xnMOytbP6eKBG;0,0788;0,799;199849;0,597;5,66e-06;0,1;-5,131;0;0,0611;110,001;0,419
0.81;11;4F8V44j8cbjHnXjfW2HruU;0,187;0,813;244133;0,488;0,000132;0,231;-7,737;0;0,257;139,983;0,688
0.87;6;397Un0hOSVgAdLcIHpGAxp;0,0154;0,879;228400;0,547;1,65e-05;0,0295;-5,67;0;0,148;99,014;0,665
0.69;3;3JJYIoJ5FyY9E0DGjr7SXF;0,175;0,696;194755;0,693;0;0,122;-4,64;1;0,044;126,025;0,601
0.45;9;6Ep6BzIOB9tz3P4sWqiiAB;0,119;0,473;186813;0,777;7,87e-05;0,671;-3,698;1;0,059;136,249;0,21
0.63;10;4e4fqjx0Izh4svvTef1z7e;0,0476;0,642;164205;0,772;0;0,0646;-6,61;1;0,0848;153,995;0,589
0.39;1;0STK94RxUulYqWzwFlyAb5;0,798;0,397;197893;0,303;4,16e-06;0,0824;-10,413;1;0,11;170,22;0,17
0.57;5;1rqqCSm0Qe4I9rUvWncaom;0,193;0,579;190947;0,904;0;0,064;-2,729;1;0,0618;82,014;0,681
0.51;6;6PFoEnjp0PAe5siGswjH9i;0,0375;0,526;219467;0,891;0;0,375;-1,549;1;0,0482;94,095;0,804
0.48;6;76vMKwFtdDDCLcM6zXybjB;0,167;0,491;189187;0,867;0;0,458;-2,313;0;0,103;167,965;0,602
0.57;5;22oEJW6r2rMb9z4IntfyEa;0,0137;0,577;169667;0,833;0;0,121;-3,337;1;0,0695;107,936;0,58
0.27;1;0wdV94AXGRphrbkDWLNzVC;0,0467;0,271;186600;0,948;0;0,163;-2,207;1;0,263;83,19;0,515
0.27;2;50Hv5NZIM0puIUoBttjpfb;0,237;0,285;160747;0,922;0;0,159;-1,932;0;0,247;198,063;0,472
0.42;8;5trCWbYtza0QUxdmF9HAPX;0,0426;0,424;198947;0,892;0;0,711;-3,78;0;0,193;174,008;0,762
0.57;1;3BDxv4ORzOpXAsa4lWVl4i;0,0272;0,577;168613;0,939;0;0,24;-1,352;0;0,108;105,092;0,714
